,SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD
2656,2657,2015-07-30,Pragmatix,Business intelligence & Analytics,,Mumbai,SIDBI Venture Capital Ltd,Private Equity,2400000.0
2657,2658,2015-07-30,Droom.in,Used Vehicle Marketplace,,NCR,"Lightbox Ventures, Beenos",Private Equity,16000000.0
2658,2659,2015-07-30,MadRat Games,Educational Board Games,,Bengaluru,"Kunal Bahl, Rohit Bansal",Seed Funding,168000.0
2659,2660,2015-07-30,Noodle Play,Chinese food delivery,,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding,168000.0
2660,2661,2015-07-30,Wassup,On-Demand Laundry & Dry cleaning App,,Chennai,B S Nagesh,Private Equity,
2661,2662,2015-07-30,Cartisan,On-Demand Car services App,,Bengaluru,"YouWeCan Ventures,\\xc2\\xa0 Aprameya Radhakrishna",Seed Funding,
2662,2663,2015-07-31,LazyLad,Hyperlocal Grocery App,,NCR,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,500000.0
2663,2664,2015-07-31,TripFactory,Online Curated Holiday package bookings,,Bengaluru,"Aarin Capital Partners,",Private Equity,
2664,2665,2015-07-31,Prothom,Hasbro Toy Manufacturer,,Pune,Oliphabs Capital,Private Equity,2000000.0
2665,2666,2015-07-31,Bona Vita,Travel Tech,,NCR,MakeMyTrip,Private Equity,5000000.0
2666,2667,2015-06-01,Vyomo,Beauty and Wellness Platform,,NCR,Aprameya Radhakrishna,Seed Funding,
2667,2668,2015-06-01,Veeba Foods,Healthy Food Manufacturer,,NCR,"DSG Consumer Partners, Saama Capital.",Private Equity,6000000.0
2668,2669,2015-06-01,Truebil,Used Car Marketplace,,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,500000.0
2669,2670,2015-06-01,Meritnation,Online Learning Platform,,NCR,InfoEdge,Private Equity,4000000.0
2670,2671,2015-06-01,Eattreatonline,Healthy Food Online Community,,NCR,Group of 15 Angel Investors,Seed Funding,350000.0
2671,2672,2015-06-01,CredR,Used two-wheeler Marketplace,,Mumbai,GrowthStory,Seed Funding,
2672,2673,2015-06-01,Glamrs,Online Fashion Video Portal,,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,1000000.0
2673,2674,2015-06-01,Proviera,Probiotic Technology Products Manufacturer,,Chennai,Infuse Ventures,Private Equity,550000.0
2674,2675,2015-06-01,Arth DesignBuild,Architectural Design & Consulting,,Hyderabad,Srinivas Tirupati,Seed Funding,500000.0
2675,2676,2015-06-02,Saama,Big Data & Analytics Services,,Pune / US,Carrick Capital Partners,Private Equity,35000000.0
