,SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD
0,1,2020-01-09,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000.0
1,2,2020-01-13,Shuttl,Transportation,App based shuttle service,NCR,Susquehanna Growth Equity,Series C,8048394.0
2,3,2020-01-09,Mamaearth,eCommerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860.0
3,4,2020-01-02,https://www.wealthbucket.in/,FinTech,Online Investment,NCR,Vinod Khatumal,Pre-series A,3000000.0
4,5,2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000.0
5,6,2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000.0
6,7,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,NCR,Ant Financial,Private Equity Round,150000000.0
7,8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0
8,9,2019-12-06,CarDekho,eCommerce,Automobile,NCR,Ping An Global Voyager Fund,Series D,70000000.0
9,10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0
10,11,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,NCR,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000.0
11,12,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.0
12,13,2019-12-16,Licious,eCommerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000.0
13,14,2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,5900000.0
14,15,2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000.0
15,16,2019-12-11,Rein Games,Gaming,Real money based gaming startup,NCR,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0
16,17,2019-12-20,Lenskart.com,eCommerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000.0
17,18,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000.0
18,19,2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,NCR,"Sauce.vc, Rainforest Ventures",Series B,486000.0
19,20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,NCR,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.0
20,21,2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,NCR,RB Investments,Venture,
21,22,2019-11-18,Healthians,Health and Wellness,Healthcare services,NCR,"DG Daiwa Ventures, DG Incubation",Series B,12000000.0
22,23,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.0
23,24,2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,NCR,FinTech,Debt Funding,17411265.0
24,25,2019-11-12,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000.0
25,26,2019-11-20,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0
26,27,2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0
27,28,2019-11-19,Digital Mall Asia,eCommerce,Virtual e-commerce platform,NCR,Amour Infrastructure,Seed Funding,220000000.0
28,29,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.0
29,30,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0
30,31,2019-11-19,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,,200000000.0
31,32,2019-11-25,Paytm,FinTech,Mobile Wallet,NCR,Vijay Shekhar Sharma,Funding Round,1000000000.0
32,33,2019-10-04,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000.0
33,34,2019-10-02,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000.0
34,35,2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,NCR,Ayushmann Khurana,Corporate Round,
35,36,2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0
36,37,2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000.0
37,38,2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000.0
38,39,2019-09-04,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0
39,40,2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0
40,41,2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000.0
41,42,2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0
42,43,2019-09-04,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0
43,44,2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000.0
44,45,2019-08-01,CarDekho,eCommerce,Automotive,NCR,SC GG India Mobility Holdings LLC,Series C,20000000.0
45,46,2019-08-01,Progcap,Finance,Supply Chain Management,NCR,Sequoia India,Series A,5000000.0
46,47,2019-08-01,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,,Seed Funding Round,1600000.0
47,48,2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0
48,49,2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,NCR,Pine Labs Pte Ltd,Corporate Round,38080000.0
49,50,2019-08-12,Meesho,eCommerce,Social Commerce,Bengaluru,Naspers,Series D,125000000.0
50,51,2019-08-13,Cars24,eCommerce,Car Retail,NCR,MS Dhoni,Series D,11000000.0
51,52,2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000.0
52,53,2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000.0
53,54,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000.0
54,55,2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110000000.0
55,56,2019-08-22,INDwealth,FinTech,Wealth Management,NCR,Tiger Global Management,Venture Round,15000000.0
56,57,2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590000.0
57,58,2019-08-23,AdmitKard,EdTech,University Admissions,NCR,Growth DNA,Seed Round,1000000.0
58,59,2019-08-19,Mishry Reviews,Services,Product Review,NCR,Vir Sanghvi,Series A,
59,60,2019-08-19,Grofers,eCommerce,Grocery Delivery,NCR,Softbank Vision Fund,Series F,70000000.0
60,61,2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000.0
61,62,2019-07-02,RenewBuy,Finance,Auto Insurance,NCR,"Lok Capital, IIFL Wealth",Series B,19000000.0
62,63,2019-07-02,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0
63,64,2019-07-01,WizCounsel,Compliance,Consulting,NCR,Kapil Dev,Angel,145000.0
64,65,2019-07-03,Ola,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0
65,66,2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000.0
66,67,2019-07-04,Daalchini Technologies,Food and Beverage,Digital Vending Machine,NCR,Artha Venture,Seed Round,500000.0
67,68,2019-07-10,Byju's,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000.0
68,69,2019-07-11,Moglix,eCommerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0
69,70,2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed Investors,Series B,16000000.0
70,71,2019-07-10,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000.0
71,72,2019-07-10,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000.0
72,73,2019-07-09,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000.0
73,74,2019-07-08,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319605.0
74,75,2019-06-05,NoBroker,eCommerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000.0
75,76,2019-06-04,Bira91,Food and Beverage,Brewery,NCR,Anicut Capital,Debt Funding,10000000.0
76,77,2019-06-03,FabHotels,eCommerce,Hospitality,NCR,"Goldman Sachs, Accel Partners and Qualcomm",,4889975.54
77,78,2019-06-03,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000.0
78,79,2019-06-04,BharatPe,Finance,FinTech,NCR,Insight Partners,Series B,75000000.0
79,80,2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.0
80,81,2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000.0
81,82,2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,2739034.68
82,83,2019-06-06,Chakr Innovation,Energy,Renewable Energy,NCR,IAN Fund,Series A,26000000.0
83,84,2019-06-06,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500.0
84,85,2019-06-10,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430200.0
85,86,2019-06-10,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000.0
86,87,2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000.0
87,88,2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000.0
88,89,2019-06-04,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000.0
89,90,2019-05-06,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,
90,91,2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,868600.0
91,92,2019-05-05,StyleDotMe,eCommerce,Fashion and Shopping,NCR,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,
92,93,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0
93,94,2019-05-02,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0
94,95,2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51000000.0
95,96,2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000.0
96,97,2019-05-30,GlowRoad,eCommerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0
97,98,2019-05-31,Bira91,Food and Beverage,Brewery,NCR,Sixth Sense Ventures,Series B,5600000.0
98,99,2019-04-16,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000000.0
99,100,2019-04-12,Medlife,eCommerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.0
100,101,2019-04-10,Kabadiwala,eCommerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.0
101,102,2019-04-13,Tripoto,Social Media,Travel,NCR,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375.0
102,103,2019-04-12,Azah,Health and Wellness,Organic wellness,NCR,Unnamed angel investors,Seed Funding,200000.0
103,104,2019-04-11,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,3500000.0
104,105,2019-04-10,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,6320820.0
105,106,2019-04-10,Craftsvilla,eCommerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0
106,107,2019-04-10,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,307000.0
107,108,2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0
108,109,2019-04-19,My Healthcare,eCommerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000.0
109,110,2019-04-19,KrazyBee,eCommerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,14342000.0
110,111,2019-04-17,Shuttl,Transportation,Bus Aggregation,NCR,New Atlantic Ventures,Venture Round,5000000.0
111,112,2019-04-17,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000.0
112,113,2019-02-01,FleetX,AI,Logistics,NCR,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,
113,114,2019-02-08,Zilingo,eCommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.0
114,115,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,NCR,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000.0
115,116,2018-02-14,OYO Rooms,Hospitality,Budget Rooms,NCR,DiDi Chuxing,Equity,100000000.0
116,117,2019-01-03,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000.0
117,118,2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.0
118,119,2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000.0
119,120,2018-12-04,Manch,Social Media,Hyperlocal Content,NCR,Stellaris Venture Partners,Seed Funding,700000.0
120,121,2018-12-01,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,NCR,Steadview Capital and Vy Capital.,Series D,50000000.0
121,122,2018-12-02,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000.0
122,123,2018-12-02,Career Anna,Online Education,"Video-based certification, trainings",NCR,Individual Investors,Pre-Series A,572000.0
123,124,2018-12-04,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.0
124,125,2018-12-06,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000.0
125,126,2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",NCR,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.0
126,127,2018-11-01,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,138995.0
127,128,2018-11-03,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000.0
128,129,2018-11-06,Meesho,eCommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.0
129,130,2018-11-08,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed Investors,Series A,500000.0
130,131,2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,1000000.0
131,132,2018-11-12,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,1000000.0
132,133,2018-11-12,MilkBAsket,Food,Micro-delivery grocery service,NCR,Mayfield Fund,Series B,1300000.0
133,134,2018-11-13,DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000.0
134,135,2018-11-14,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,500000.0
135,136,2018-11-19,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,300000000.0
136,137,2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000.0
137,138,2018-11-21,Genius Corner,Education,Personalized Learning,NCR,Individual investors,Seed Funding,278000.0
138,139,2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000.0
139,140,2018-11-22,Skillbox,Social Network,Art,NCR,Individual investors,Seed Funding,
140,141,2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000.0
141,142,2018-11-24,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000.0
142,143,2018-11-25,InCred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,42000000.0
143,144,2018-11-25,Roposo,Social Media,Video Sharing,NCR,Bertelsmann India Investments,Series B,1700000.0
144,145,2018-10-01,Northmist,Fashion,Mens Wear,NCR,Prashant Jaiswal,Seed/ Angel Funding,
145,146,2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000000.0
146,147,2018-10-04,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000.0
147,148,2018-10-05,Droom,Automobile,New and Used Cars Platform,NCR,ZigExN,Series E,3000000.0
148,149,2018-10-11,Innov8,Real Estate,Co-Working,NCR,Credence Family Office,Pre-Series A,4000000.0
149,150,2018-10-12,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,14680000.0
150,151,2018-10-12,LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,12000000.0
151,152,2018-09-01,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.0
152,153,2018-09-03,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000.0
153,154,2018-09-03,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,6390000.0
154,155,2018-09-04,3HCare,Healthcare,Healthcare Service Provider,NCR,,Seed / Angel Funding,1000000.0
155,156,2018-09-04,HappyGoEasy,Consumer Internet,Online Travel Agecy,NCR,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,
156,157,2018-09-05,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000.0
157,158,2018-09-05,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity,
158,159,2018-09-06,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000.0
159,160,2018-09-10,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,NCR,Stellaris Ventures & Others,Private Equity,4000000.0
160,161,2018-09-11,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000.0
161,162,2018-09-11,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5500000.0
162,163,2018-09-11,Upwards,FinTech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0
163,164,2018-09-12,Kissht,FinTech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000.0
164,165,2018-08-01,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400000.0
165,166,2018-08-01,HealthFin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,
166,167,2018-08-02,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0
167,168,2018-08-03,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,NCR,Y Combinator,Private Equity,120000.0
168,169,2018-08-07,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,,Seed/ Angel Funding,1000000.0
169,170,2018-08-07,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0
170,171,2018-08-07,MakeMyTrip,Consumer Internet,Online Travel Aggregator,NCR,MakeMyTrip Limited,Private Equity,10000000.0
171,172,2018-08-08,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000000.0
172,173,2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000.0
173,174,2018-08-08,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,66000000.0
174,175,2018-08-09,quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000000.0
175,176,2018-08-09,Happy EMI,FinTech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000.0
176,177,2018-08-13,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4000000.0
177,178,2018-08-13,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000.0
178,179,2018-08-16,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,,Seed/ Angel Funding,114811.0
179,180,2018-08-17,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,NCR,Denlow Investment Trust and Beenext,Private Equity,5850000.0
180,181,2018-08-20,Finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,,Seed / Angel Funding,1000000.0
181,182,2018-08-20,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,4800000.0
182,183,2018-08-22,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,6000000.0
183,184,2018-08-22,Revv,Consumer Internet,Online Indian Car Rental Platform,NCR,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000.0
184,185,2018-08-26,ZestMoney,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000.0
185,186,2018-08-26,Shubh Loans,FinTech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000.0
186,187,2018-08-27,MyUpchar,Healthcare,Local Language Health Content App,NCR,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000.0
187,188,2018-08-28,Narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000000.0
188,189,2018-08-30,True North,Finance,Private Equity Firm,Mumbai,,Private Equity,600000000.0
189,190,2018-07-01,Leena AI,Technology,HR Virtual Agent For Employees,NCR,Y Combinator,Seed/ Angel Funding,
190,191,2018-07-02,Biryani By Kilo,Consumer Internet,Online Food Delivery,NCR,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,1000000.0
191,192,2018-07-04,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000.0
192,193,2018-07-05,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,6250000.0
193,194,2018-07-06,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,NCR,Info Edge (India) Ltd and Temasek,Private Equity,27700000.0
194,195,2018-07-09,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,440000.0
195,196,2018-07-09,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,1100000.0
196,197,2018-07-10,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,NCR,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,437000.0
197,198,2018-07-10,iNICU,Healthcare,Med-tech Platform Providing Care For Newborns,NCR,Venture Catalysts,Seed/ Angel Funding,
198,199,2018-07-10,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,5000000.0
199,200,2018-07-10,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000.0
